,Nom,LAK
1,AŠ,1
2,TIL,17
3,NUMUN,12
4,ḪAL,5
5,GÍR,6
6,ÁD,7
7,AN,8
8,NAB,9
9,MUL,10
10,BAD,16
11,BAD-AŠ,
12,TI,18
13,BAL,19
14,LAK 20,20
15,AŠGAB,346
16,ŠEŠ,32
17,LÚ,337
18,LÚ×TIL,344
19,LÚ×ÉŠ,
20,IG,82
21,NA,22
22,ŠIR,23
23,NU₁₁,24
24,MU,14
25,TAḪ,15
26,MA,34
27,ḪAŠḪUR,35
28,MA×GÁNAtenû,
29,ḪÚL,183
30,SI,83
31,DIRI,84
32,SU₄,86
33,MÁ,529
34,U₅,66
35,PAN,38
36,MAŠ,42
37,MÁŠ,43
38,GÀM,29
39,NU,36
40,ḪU,64
41,DAR,69
42,GI,464
43,ZI,468
44,BALAG,41
45,ŠE,199
46,TIR,204
47,LI,206
48,TU,211
49,ASALₓ,212
50,NAGA,209
51,UŠ,58
52,UŠ×KÍD,60
53,ARAD,58
54,ÁRAD,59
55,GUR,88
56,GÁNA,89
57,ZÍ,539
58,GAN,644
59,ÙZ,778
60,MUG,48
61,BÚR,52
62,DIM,53
63,MUN,56
64,RI,75
65,NAM,71
66,NUN,76
67,ŠÌTA,74
68,AG,87
69,ŠÁM,105
70,ÁG,109
71,AZU,117
72,PA,121
73,GU₄,123
74,AM,124
75,IN,214
76,UM,127
77,SAR,215
78,MAR,126
79,AL,515
80,APIN,128
81,GIŠGAL,648
82,ASARI,650
83,BANŠUR,653
84,KIN,174
85,UKKIN,649
86,UŠTIN,764
87,ŠU,139
88,DA,143
89,Á,144
90,KAB,147
91,I,135
92,E,136
93,ALAM,138
94,NE,148
95,ÉRIM,
96,BÍL,150
97,NESAGₓ,159
98,GI₄,466
99,DÉ,156
100,ÁŠ,162
101,GÀR,160
102,Ú,152
103,IŠ,163
104,LUḪ,168
105,BÁRA,153
106,GAL,164
107,LUGAL,165
108,SIG₇,167
109,BUR,169
110,BURU₄,
111,ŠA,170
112,KAD₄,171
113,ÍL,172
114,URI,176
115,GAD,"46, 285"
116,UB,284
117,GABA,119
118,TÙM,272
119,ZU,291
120,SU,293
121,PAB,229
122,MUNU₄,230
123,BU,232
124,SUD,233
125,LAK459,459
126,GIL,465
127,DIN,237
128,AMAR,267
