𒀸,𒀸,"AŠ
(1, ANA3, AS3, AṢ3, AŠ (MesZL: see also U.DAR (nos. 670+183)), AŠA, AŠŠA, AZ3, DAL3, DEL, DELE, DEŠ2, DIL, DILI, DIŠ2, EŠ20, GE15, GEŠ4 (MesZL: perhaps to be erased, Deimel GEŠ), GUBRU2 (Labat; MesZL: GUBRU2 read LIRU2), ḪIL2 (Labat; MesZL: ḪIL2 missing), IN6 (MesZL: Labat IN3; Labat: IN6), INA, LIRI2 (MesZL: Labat GUBRU2), LIRU2 (MesZL: Labat GUBRU2), LIRUM2 (MesZL: Labat GUBRU2), MAKAŠ2, MAKKAŠ2, RAM2 (MesZL: ?), RIM5, RU3, RUM, SAGTAG, SAGTAK, SALUGUB, SANTA, SANTAG, SANTAK, SIMED (Labat: in index, in syllabary missing; MesZL: SIMED missing), ŠUP2 (MesZL: Labat ŠUP3), ŠUP3 (Labat; MesZL: ŠUP2, ŠUP3 = ŠAB (no. 466)), TAL3, TIL4, ṬIL, UBU (Labat: in index, in syllabary missing; MesZL: UBU = GE23 (no. 575)), UTAK (Labat: in index, in syllabary missing; MesZL: UTAK = GE22 (no. 647)))
(ePSD; Akkadian Dictionary)",1,1,"U+12038
(ASH)"
𒀸𒁯,𒀸𒁯,"AŠ.DAR
(MesZL: also AŠ.TAR2, old form of U.DAR (no. 670), see also GE23.DAR (no. 575) and DIŠ.DAR (no. 748))
(ePSD; Akkadian Dictionary)",001+183,001+114,"U+12038 & U+1206F
(ASH & DAR)"
𒀸𒀀𒀭,𒀸𒀀𒀭,"AŠ.A.AN
(TILLA5 (Labat; MesZL: TILLA5 missing))
(ePSD; Akkadian Dictionary)",001+839+010,001+579+013,"U+12038 & U+12000 & U+1202D
(ASH & A & AN)"
𒐀,𒐀,"AŠ.AŠ
(2, DIDLI, MAN3, MIN5)
(ePSD; Akkadian Dictionary)",2,2,"U+12400
(NUMERIC SIGN TWO ASH)"
𒄬,𒄬,"ḪAL
(BULUḪ, BUR8, BURU8, BURUḪ, ḪALA)
(ePSD; Akkadian Dictionary)",3,2,"U+1212C
(HAL)"
"𒄬𒄬
or
𒀀𒇉𒄬𒄬","𒄬𒄬
or
𒀀𒇉𒄬𒄬","ḪAL.ḪAL
(A.ENGUR.ḪAL.ḪAL; ID2Idiqlat)
(ePSD; Akkadian Dictionary)","003+003
(839+756+003+003)","002+002
(579+484+002+002)","U+1212C & U+1212C
(U+12000 & U+121C9 & U+1212C & U+1212C)
(HAL & HAL)
(A & LAGAB TIMES HAL & HAL & HAL)"
𒐁,𒐁,"EŠ6
(3, AŠ.AŠ.AŠ)
(ePSD; Akkadian Dictionary)",4,002a,"U+12401
(NUMERIC SIGN THREE ASH)"
𒁄,𒁄,"BAL
(BALA, BUL3, PAL, PALA4, PUL3)
(ePSD; Akkadian Dictionary)",5,9,"U+12044
(BAL)"
𒁅,𒁅,"BAL over BAL
(ePSD; Akkadian Dictionary)",5,9,"U+12045
(BAL OVER BAL)"
𒄈,𒄈,"GIR2
(GER2, GIRI2 (MesZL: Deimel GIRI; Labat: in index erroneously GIRI3, in syllabary GIRI2), MER3, MERI3 (MesZL: Deimel MERI), PATRU, UKUR (MesZL: both GIR2 (no. 6) or U2.GIR2 (no. 490) are too uncertain))
(ePSD; Akkadian Dictionary)",6,10,"U+12108
(GIR2)"
